"","Record","label","card_scale_trans_1","card_scale_trans_2","card_scale_trans_3","card_scale_trans_7","merch_scale_trans_1","merch_scale_trans_2","merch_scale_trans_3","merch_scale_trans_7","Card_Scale_State_1","card_scale_dup_1","card_scale_dup_2","card_scale_dup_3","card_scale_dup_7","merch_scale_dup_1","merch_scale_dup_2","merch_scale_dup_3","merch_scale_dup_7","card_scale_amount_1","card_scale_amount_2","card_scale_amount_3","card_scale_amount_7","merch_scale_amount_1","merch_scale_amount_2","merch_scale_amount_3","merch_scale_amount_7"
"1",53525,0,-0.422797470923054,-0.486187826216812,-0.528638351665053,1.06534310547273,-0.644451896856661,-0.68841603315345,-0.726572793357428,-0.675522128253758,0.906614486510356,0.855230572854257,1.00831771428508,1.10922650099724,-0.855886149467712,-1.46393682742758,-1.2913717961925,-1.16452172875062,-1.01200797493751,-0.226790210548848,-0.302946961960968,-0.350010781454595,0.544573078486812,-0.644649429202848,-0.680568910483193,-0.718296942297991,-0.671750645531357
"2",30513,1,1.55202788653363,1.42735865697024,1.36940568141163,1.21031249142633,-0.69515504907615,-0.694086576647448,-0.732255874723762,-0.832176240160739,-0.475816303328978,0.855230572854257,1.00831771428508,1.10922650099724,1.38721099002224,0.178221383600794,-0.53647553883159,-0.425176317680141,-0.484105101087831,1.87551164685387,1.72459364714035,1.64563182932741,1.50913573503874,-0.703634974017711,-0.695908350912034,-0.733660797516687,-0.860131442418298
"3",45670,1,0.944389315008495,0.838575123681913,0.78539213277265,0.630434947070705,-0.651434759726803,-0.6061931527129,-0.644168112351388,-0.56970443670019,-0.475816303328978,-0.688151344500682,-0.458062775611813,-0.321548856212576,-0.0147247221589797,-0.695267026648915,-0.963156031997875,-0.843067202076141,-0.85130431774387,0.64576866022795,0.538582306984786,0.478279245798532,0.343545807699533,-0.634414590071903,-0.17740895591339,-0.214336141749637,-0.245440674891634
"4",23702,1,1.61598984149497,2.41899408166242,2.35300744735601,2.18694835670092,-0.138378644765349,-0.165821991622437,-0.184872894451821,-0.298630382767687,-1.64556543320154,-1.75664651819657,-1.59858093445309,-1.43437413407423,-1.10511916499775,-1.5173737654485,-1.34107304046128,-1.21452576621214,-1.00057542788078,-0.0137410220562396,2.05426740175506,1.97011903741535,1.83313298173871,-0.489025819644194,-0.526511456789673,-0.491313132843539,-0.553105326378576
"5",63398,0,-0.81776254241439,-0.868897122854221,-0.849845803416491,-0.761271159978145,-0.723914514299701,-0.739664795593065,-0.753403557925135,-0.837436987321353,0.906614486510356,0.855230572854257,1.00831771428508,-0.321548856212576,-0.94934853018633,-1.04466239059157,-1.19290706696483,-1.12899254422265,-0.973498342794285,-0.761125087997027,-0.818280028372762,-0.831500723065736,-0.756386138218092,-0.701232231027494,-0.706224423460779,-0.73387738442735,-0.822467494353917
"6",18755,0,1.85584717229619,1.7217504236144,1.66141245573112,1.50025126387476,-0.1752035104658,-0.220748332714139,-0.257871046892371,-0.104723007109183,-0.936626566700918,-1.20261198372189,-0.946856272341868,-0.798473975377901,-0.482036626312849,-0.258522821524061,-0.109795045409297,-0.0072854330334061,-0.203305700106646,1.90053547210482,1.74872758511679,1.66938608315559,1.5328541219582,-0.21910857622432,-0.266824223135085,-0.303893725259672,-0.181847672308124
"7",2930,0,1.30897245792357,1.19184524365491,1.13580026195604,0.978361473629961,2.10081077176263,2.06705317965137,2.03498895446784,1.94629097048099,-0.936626566700918,-1.20261198372189,-0.946856272341868,-0.798473975377901,-0.482036626312849,1.05170979358846,1.17024643460158,1.24638722065606,1.48149070603318,1.92705673375362,1.77430570752656,1.69456180133642,1.55799182618088,2.00744927787421,1.96367076489151,1.93015139215444,1.83782366014944
"8",60500,1,2.56698462118847,2.4496421541727,2.42191361510702,2.25536652666745,-0.649023396280744,-0.663120911755351,-0.63100441511256,-0.698908826519957,-1.82609753990723,-0.724043947301652,-0.508627620060677,-0.386584099644071,-0.0784490726362022,-0.640244134487233,-0.511668533355409,-0.835182468375176,-0.737509438558656,0.5895344119687,0.504669477738843,1.30142972375822,1.16545336222835,-0.663641573792112,-0.68352392803097,-0.637227090735369,-0.70468552032431
"9",46054,1,-0.513943256651824,-0.57450535621006,-0.616240383960899,-0.761271159978145,-0.683674786283463,-0.73185292587108,-0.74977895496528,-0.755145879112359,0.906614486510356,0.855230572854257,1.00831771428508,1.10922650099724,1.38721099002224,-0.695267026648915,-0.53647553883159,-0.634121759878141,-0.815958938585777,-0.790288154521134,-0.846406009165327,-0.884919935302952,-1.01759499841484,-0.701024829008458,-0.749592629416606,-0.741440411571828,-0.785781373998304
"10",62850,1,-0.738302113811638,-0.248409860838296,-0.292786726280112,-0.306290317387974,-0.459705295744354,-0.506723521759828,-0.544478547062397,-0.397725003875224,0.906614486510356,0.855230572854257,-1.33789106954995,-1.18001407053847,-0.94934853018633,1.05170979358846,1.17024643460158,1.24638722065606,0.217893401491491,-0.774953595883662,-0.459035398686009,-0.503643578672081,-0.601117088868601,-0.709623290889586,-0.758206295586516,-0.796057897654579,-0.88795578473877
"11",36454,1,-0.49475467016342,-0.555912192021614,-0.597797850827542,-0.742959237499173,-0.576853089684442,-0.62447801133697,-0.662493400107302,-0.811374881474901,-0.475816303328978,-0.688151344500682,-0.458062775611813,-0.321548856212576,-0.0147247221589797,1.05170979358846,1.17024643460158,1.24638722065606,1.48149070603318,-0.129396400892147,-0.209016633354373,-0.257558198554255,-0.39118055209363,-0.374259473832809,-0.422249468108422,-0.459566350179032,-0.598136429198883
"12",22949,1,-0.618109868895914,-0.675439676224774,-0.716356992282324,-0.860678739111051,-0.666993652852601,-0.703144893761205,-0.663549303887088,-0.73905092066891,0.906614486510356,0.855230572854257,1.00831771428508,1.10922650099724,1.38721099002224,-1.36718118816579,-1.21916432807685,-1.17141004004152,-0.982524037823115,-0.610271319476752,-0.672790863425719,-0.714036165496356,-0.846969256121897,-0.63227407453797,-0.678554144228344,-0.635563616096201,-0.71667715915866
"13",48108,1,-0.63547097095685,-0.692262062867724,-0.733043093688695,-0.877246669011637,2.10081077176263,2.06705317965137,2.03498895446784,1.94629097048099,-0.475816303328978,-0.688151344500682,-0.458062775611813,-0.321548856212576,-0.0147247221589797,1.05170979358846,1.17024643460158,1.24638722065606,1.48149070603318,-0.655185372777092,-0.716107700509037,-0.756671526471334,-0.889540239442996,2.00744927787421,1.96367076489151,1.93015139215444,1.83782366014944
"14",5399,0,-0.34398720514045,-0.184048907781671,-0.163080998865608,0.394995943846949,-0.328496709887267,-0.196372974124455,-0.0763965871191329,0.135654582372529,-1.78735320651272,-2.07323768059478,-1.71496033837639,-1.65850287851166,-1.36789745304084,-0.804453077733594,-0.698427258846822,-0.855144973346388,-0.763785779228073,-0.400526526984142,-0.372740491597278,-0.39203881998495,0.119619454793788,-0.315275163402599,0.0876689852928046,0.245962159650203,0.42431915916403
"15",59795,1,-0.76091893412872,-0.813817372983685,-0.853613632819066,-0.660260232964931,-0.604288170236396,-0.652055175215527,-0.690131538958346,-0.599464083425245,-0.475816303328978,-0.688151344500682,-0.458062775611813,-0.321548856212576,-1.06617650629489,-0.695267026648915,-0.53647553883159,-0.425176317680141,-0.729804576914777,-0.622479964261685,-0.684565349090333,-0.725625410714109,-0.580887798964076,-0.586978925443226,-0.635345063001063,-0.673001115018113,-0.613437201606154
"16",36588,0,-0.720011989614393,-0.774179771857209,-0.814297152639927,-0.957925283920863,-0.705479089311253,-0.702863572913686,-0.708039895344473,-0.750554633277595,0.906614486510356,0.855230572854257,1.00831771428508,1.10922650099724,1.38721099002224,-1.36718118816579,-1.30450042676131,-1.19980332313438,-1.01245134239639,0.132688643549066,0.043748243750675,-0.00876990948193599,-0.142767923421212,-0.708464050189727,-0.707391150015442,-0.681312005999796,-0.742404867942453
"17",63481,1,-0.357693338143906,-0.423103876187989,-0.466065471420361,-0.612159791414091,1.15247148750079,1.11380254949908,1.07963062056775,0.96961764739578,0.906614486510356,0.855230572854257,1.00831771428508,1.10922650099724,1.38721099002224,-0.258522821524061,-0.109795045409297,-0.0072854330334061,0.217893401491491,0.104923667516599,0.0169706350945453,-0.0351262429853892,-0.169084459798185,1.1024983599464,1.05711965782417,1.02215738844587,0.912259474982057
"18",33195,1,0.336750743483362,0.249791590393591,0.201378584133671,0.050557402444467,-0.1752035104658,-0.220748332714139,-0.257871046892371,-0.397725003875224,0.906614486510356,0.855230572854257,1.00831771428508,1.10922650099724,1.38721099002224,1.05170979358846,1.17024643460158,1.24638722065606,1.48149070603318,-0.435056487042703,-0.503806953330429,-0.547710771102712,-0.680895006246385,-0.271857664592186,-0.319666585624853,-0.356820193365833,-0.493402078162124
"19",66979,1,-0.815667236992544,-0.775503872778903,-0.815610526459531,-0.659292695413626,-0.388579849424716,-0.435229724498405,-0.47282667201989,-0.617476501335809,-0.475816303328978,-0.688151344500682,-1.33789106954995,-1.18001407053847,-1.22973567270669,1.05170979358846,1.17024643460158,1.24638722065606,1.48149070603318,-0.591760116284649,-0.630635298720298,-0.672543807309341,-0.720758572922214,0.0236175865010196,-0.0236688577243269,-0.0603513454442048,-0.191196395678945
"20",6599,0,0.336750743483362,0.249791590393591,0.201378584133671,0.437142432014886,2.10081077176263,2.06705317965137,2.03498895446784,1.94629097048099,-0.936626566700918,-1.20261198372189,-0.946856272341868,-0.798473975377901,-0.71569257824959,-0.695267026648915,-0.53647553883159,-0.425176317680141,-0.203305700106646,0.054424374690661,-0.0317328209893805,-0.0830634790805486,0.0415779415385202,2.00744927787421,1.96367076489151,1.93015139215444,1.83782366014944
"21",37683,0,-0.720011989614393,-0.774179771857209,-0.814297152639927,-0.806652881033716,-0.639610836448221,-0.687560773637675,-0.725715642803106,-0.725197823508699,0.906614486510356,0.855230572854257,1.00831771428508,1.10922650099724,-0.0147247221589797,-1.04466239059157,-0.87781993341582,-0.759489025247088,-0.835104352301675,-0.739954715979296,-0.79786250900055,-0.837140138921785,-0.686881920983193,-0.68480700237421,-0.733346125411916,-0.771158159182654,-0.668337854372523
"22",15643,0,-0.858925155313703,-0.908782458970074,-0.947809366365015,-0.60414305120072,-0.45421903542244,-0.501208848661319,-0.325772548343224,0.888900843961206,0.906614486510356,0.855230572854257,1.00831771428508,1.10922650099724,-1.31281334454069,-0.506404667640593,-0.351965055154922,-0.673299030305937,-0.882307699886291,-0.782332290557444,-0.838733068604946,-0.87736770813571,-0.73336754793086,-0.327145686536373,-0.375052371369576,-0.23635813948379,0.924810353650067
"23",53445,1,-0.422797470923054,-0.486187826216812,-0.528638351665053,-0.674289528405984,-0.636847916769833,-0.684783545099121,-0.722932273554515,-0.734953716927861,0.906614486510356,0.855230572854257,1.00831771428508,1.10922650099724,1.38721099002224,-0.913639129080319,-0.749815785414733,-0.634121759878141,-0.764904502069015,-0.603371620647252,-0.666136529062099,-0.707486519481393,-0.840429499735305,-0.654960264647876,-0.703446610851927,-0.741211055569167,-0.808011399608486
"24",41584,1,-0.357693338143906,-0.423103876187989,-0.466065471420361,-0.612159791414091,-0.641126724044797,-0.647638832281976,-0.664936771750769,-0.750176681081767,0.906614486510356,0.855230572854257,1.00831771428508,1.10922650099724,1.38721099002224,-1.04466239059157,-1.02411038816449,-0.947539923300508,-0.815958938585777,-0.644902903181304,-0.706190892063039,-0.7469107329301,-0.879794184266571,-0.697319471974812,-0.737762811041731,-0.769020098231198,-0.884328687975594
"25",55144,0,-0.707245728417504,-0.761809647986746,-0.731475272057309,-0.68888376181315,-0.720806828055699,-0.769177270444421,-0.767209607822819,-0.818920232822142,-1.46326686738144,-0.908634475463194,-0.667545702656147,-0.893858999096504,-0.94934853018633,-0.977037481458286,-0.811753276416034,-1.05201264444966,-0.96225879804474,-0.7645368382278,-0.821570451221378,-0.859126065438246,-0.989025571723777,-0.580528354190328,-0.628883085428223,-0.645386149208158,-0.700399574370076
"26",45865,1,-0.473434018550148,-0.535253120657505,-0.577306147423902,-0.722612656966981,-0.42809398626896,-0.474948500754751,-0.512633269297572,-0.658171222969604,0.906614486510356,0.855230572854257,1.00831771428508,1.10922650099724,1.38721099002224,1.05170979358846,1.17024643460158,1.24638722065606,1.48149070603318,-0.762248225828472,-0.819363225609531,-0.858302598482733,-0.991017852686185,-0.717578932992351,-0.766176005305331,-0.804040292256789,-0.949276130626606
"27",27391,1,0.336750743483362,0.249791590393591,0.201378584133671,0.050557402444467,-0.46321766346033,-0.510254079677525,-0.548016911258488,-0.658171222969604,0.906614486510356,0.855230572854257,1.00831771428508,1.10922650099724,1.38721099002224,-0.258522821524061,-0.109795045409297,-0.0072854330334061,0.0774937008745386,1.92364005430312,1.7710105307138,1.6913184657801,1.55475338827695,-0.408509470825951,-0.456560027769473,-0.493931519658445,-0.625837861737679
"28",12805,1,-0.149360113736744,-0.221235236237067,-0.265832254777512,-0.413344633418889,2.10081077176263,2.06705317965137,2.03498895446784,1.94629097048099,0.906614486510356,0.855230572854257,1.00831771428508,1.10922650099724,1.38721099002224,1.05170979358846,1.17024643460158,1.24638722065606,1.48149070603318,-0.722381953217927,-0.78091466205551,-0.820458921535753,-0.953231318145891,2.00744927787421,1.96367076489151,1.93015139215444,1.83782366014944
"29",67416,0,-0.0683416375333928,-0.142730765131957,0.201378584133671,0.823727461855915,1.38955630856625,2.06705317965137,2.03498895446784,1.94629097048099,-0.475816303328978,-0.688151344500682,-0.458062775611813,-0.798473975377901,-0.855886149467712,-0.695267026648915,-0.749815785414733,-0.634121759878141,-0.413905250779355,-0.63184957169031,-0.693601758150866,-0.675464680867676,-0.0521199345980973,1.42182780471664,1.96367076489151,1.93015139215444,1.83782366014944
